GraphType,Size,Algorithm,Colors,Time
complete,8,Greedy LF,8,0.0
complete,8,Greedy SL,8,0.001998424530029297
complete,8,Greedy SLF,8,0.0
complete,8,Brute Force,8,44.01030659675598
complete,8,Backtracking,8,0.15500330924987793
complete,8,Greedy LF,8,0.0
complete,8,Greedy SL,8,0.0025987625122070312
complete,8,Greedy SLF,8,0.0
complete,8,Brute Force,8,33.99092626571655
complete,8,Backtracking,8,0.11094927787780762
complete,8,Greedy LF,8,0.0
complete,8,Greedy SL,8,0.0010008811950683594
complete,8,Greedy SLF,8,0.0
complete,8,Brute Force,8,26.908643007278442
complete,8,Backtracking,8,0.19696402549743652
